x,y,z
-0.25403811542052146,-0.4544541674057594,a
-0.1339544856201063,0.2569196382970417,a
0.06422812323906119,-0.3737216336135964,a
0.0519542777553546,0.11559521391865103,a
-0.2651572308603399,0.04611753178365837,a
0.017462615533799967,-0.34289108934918694,a
0.10733620810448498,0.1682353579104703,a
0.3249153729525831,0.31614061561047085,a
-0.4133008103871273,-0.28134751197453683,a
0.15451058016259792,0.15413578527366265,a
0.15451430589181436,1.1558194471964163,a
0.17126715320795008,0.3406696920541797,a
0.2862005290479607,0.1954173753917394,a
-0.09458077339210368,0.22769076614798023,a
-0.23184756436127152,-0.07104558202200266,a
-0.14560906434873103,0.024562241815896765,a
0.6943975700020526,-0.5601795577775244,a
0.20587805711235405,-0.4838147613568955,a
-0.14157955973683004,0.32668517909020983,a
0.01928400572863883,-0.3233234333787918,a
-0.21459111277799045,0.20387932468040273,a
-0.219109989515141,0.06493757687459245,a
0.013671551971144134,-0.19548010428174512,a
0.6431832267975977,0.19017570669540337,a
-0.6075427759972821,0.055936294430828294,a
-0.1985359394305164,0.2557300004388672,a
-0.23775622152981019,-0.034420932440069704,a
0.15149618369413714,0.2597265582510364,a
-0.3600889221167329,-0.1003503707522845,a
-0.14248359334828684,-0.19599876977211356,a
0.5296362720843291,0.12149451328828666,a
-0.37826518630051353,0.2753585841164328,a
0.6366468591037899,0.30973957816534403,a
-0.455810989786204,-0.1452702218598754,a
0.3800733447559868,-0.2123008396856342,a
0.13314582844386852,0.23239021602880103,a
-0.2780791414734249,-0.017857606818540022,a
-0.9723802020207217,-0.30731629240028696,a
-0.07577044541794808,-0.3743349545894548,a
0.48972339117949054,-0.42904241338818977,a
-0.13201334600909512,0.0392221731858274,a
0.43238198671983463,-0.4307586453538318,a
0.3489491256464879,0.0030699183058761144,a
-0.2944525953143853,0.1386310422789812,a
0.059717908672041006,-0.1800650631476384,a
0.020940625497005674,-0.11559407905852806,a
0.034055203575374414,0.198639202356314,a
0.4758050448436056,-0.3713446496480547,a
0.63991001239688,-0.5856263398567505,a
-0.045535528510674994,0.17649516194537296,a
0.08429756032050979,-0.18680985594617813,a
-0.062436675107182565,-0.14790028039764985,a
-0.17680942708326344,0.2548806291063074,a
0.1071046457895142,-0.20787287857819625,a
0.2698799626299752,0.0921898562629828,a
0.24385863565168803,0.18888865257708368,a
-0.24869850327662169,-0.16805431205909085,a
0.22418808153697853,0.18311107963003945,a
